Moby Dick contains   218454 words.14440	the
   11	monomaniac
   11	mist
   11	memory
   11	mainmast
   11	lovely
   11	letters
   11	lashed
   11	kick
   11	jumped
   11	judgment
   11	jets
   11	invariably
   11	infallibly
   11	indispensable
   11	indifferent
   11	included
   11	image
   11	ignorance
   11	horses
   11	hoops
   11	herds
   11	helmsman
   11	hearse
   11	guernsey
   11	grim
   11	fowls
   11	foul
   11	forget
   11	foremost
   11	flung
   11	floats
   11	fleet
   11	fifteen
   11	fierce
   11	fetch
   11	fellows
   11	features
   11	fastened
   11	fashion
   11	faint
   11	experienced
   11	event
   11	escaped
   11	equator
   11	enter
   11	elevated
   11	elephants
   11	element
   11	eat
   11	early
   11	dived
   11	discovery
   11	direct
   11	desired
   11	demanded
   11	cuvier
   11	covered
   11	cover
   11	convenient
   11	contact
   11	concluding
   11	commotion
   11	coiled
   11	clothes
   11	clam
   11	cask
   11	carefully
   11	canoe
   11	cannibals
   11	butter
   11	burn
   11	block
   11	blessed
   11	blackness
   11	birds
   11	bible
   11	belong
   11	beholding
   11	begins
   11	begin
   11	beating
   11	barbaric
   11	bar
   11	baleen
   11	aught
   11	articles
   11	arched
   11	appearance
   11	alike
   11	advanced
   10	yon
   10	yesterday
   10	woods
   10	woman
   10	wing
   10	wave
   10	vital
   10	venerable
   10	velocity
   10	valiant
   10	vague
   10	uplifted
   10	until
   10	uncertain
   10	thrusting
   10	throughout
   10	threw
   10	thither
   10	th
   10	term
   10	task
   10	surprise
   10	superstitious
   10	summit
   10	striving
   10	strip
   10	stretched
   10	stock
   10	stairs
   10	stage
   10	spirits
   10	spear
   10	spades
   10	soil
   10	smallest
   10	sliding
   10	slide
   10	skill
   10	skies
   10	simply
   10	sick
   10	shroud
   10	shortly
   10	sheets
   10	served
   10	serious
   10	scoresby
   10	school
   10	savages
   10	sacred
   10	retained
   10	removed
   10	remotest
   10	relieved
   10	rage
   10	quest
   10	quaker
   10	pursued
   10	projecting
   10	priest
   10	pot
   10	pity
   10	pitched
   10	pious
   10	peter
   10	perch
   10	pausing
   10	path
   10	papers
   10	odd
   10	occurred
   10	occasion
   10	nine
   10	nearest
   10	nantucketers
   10	nail
   10	murderous
   10	murder
   10	mortals
   10	mood
   10	milky
   10	mildly
   10	midst
   10	methinks
   10	lip
   10	limbs
   10	lima
   10	lights
   10	led
   10	leagues
   10	landsmen
   10	lake
   10	knives
   10	jeroboam
   10	japanese
   10	japan
   10	inferior
   10	impressions
   10	imperial
   10	ignorant
   10	hurrah
   10	humor
   10	hovering
   10	host
   10	hints
   10	hills
   10	hideous
   10	headsman
   10	heading
   10	hatches
   10	handed
   10	halloa
   10	grinning
   10	gradually
   10	glimpse
   10	glasses
   10	george
   10	gently
   10	gazed
   10	gaining
   10	frozen
   10	fowl
   10	feeding
   10	fare
   10	experience
   10	entitled
   10	endure
   10	eastward
   10	earnest
   10	dust
   10	driven
   10	dream
   10	downward
   10	domestic
   10	divided
   10	dish
   10	discovered
   10	direful
   10	detached
   10	destroyed
   10	descending
   10	derived
   10	depths
   10	depth
   10	dense
   10	dear
   10	damn
   10	curiosity
   10	crotch
   10	crack
   10	consternation
   10	concern
   10	comrades
   10	compasses
   10	commodore
   10	coils
   10	clumsy
   10	closed
   10	charge
   10	chapel
   10	changed
   10	cetology
   10	century
   10	buffalo
   10	bringing
   10	brief
   10	breadth
   10	bowed
   10	boldly
   10	blinds
   10	birth
   10	berth
   10	bell
   10	bare
   10	attend
   10	ask
   10	approaching
   10	appeared
   10	appalling
   10	anybody
   10	alas
   10	afternoon
   10	accursed
   10	absent
    9	youth
    9	yours
    9	wrapped
    9	wounded
    9	wont
    9	withstand
    9	wilt
    9	wildly
    9	whereby
    9	weeks
    9	wear
    9	weapon
    9	wants
    9	wanted
    9	walking
    9	vivid
    9	violently
    9	vigorous
    9	usual
    9	unspeakable
    9	united
    9	twisted
    9	tumultuous
    9	tribe
    9	tremendous
    9	traveller
    9	tongs
    9	temporarily
    9	tempest
    9	tar
    9	swept
    9	sunset
    9	sum
    9	sufficiently
    9	succeeded
    9	stuck
    9	strained
    9	stopping
    9	stiff
    9	steer
    9	stave
    9	stark
    9	squeeze
    9	spent
    9	spend
    9	sparkling
    9	spar
    9	sole
